ipc_subclass,total_patents,granted_patents,unique_families,earliest_year,latest_year,avg_citations,ipc_section,ipc_section_name,grant_rate,time_span
H04J,406063,264085,146320,1898,9999,34.47,H,Electricity,65.04,8101
G01J,401896,241550,174874,1880,9999,12.74,G,Physics,60.1,8119
H03H,393582,227044,142091,1880,9999,12.41,H,Electricity,57.69,8119
B62B,386062,294363,188818,1881,9999,4.23,B,Performing Operations; Transporting,76.25,8118
E01C,380685,268241,219954,1894,9999,4.53,E,Fixed Constructions,70.46,8105
A01B,376699,248496,212741,1871,9999,4.18,A,Human Necessities,65.97,8128
D04H,374715,223421,79599,1889,9999,20.51,D,Textiles; Paper,59.62,8110
A47K,374383,227468,245357,1876,9999,5.4,A,Human Necessities,60.76,8123
A23G,374171,215143,88470,1888,9999,17.26,A,Human Necessities,57.5,8111
C10L,373964,216688,102038,1875,9999,13.93,C,Chemistry; Metallurgy,57.94,8124
A45D,371191,238504,177389,1880,9999,7.88,A,Human Necessities,64.25,8119
G03C,370027,218982,106414,1882,9999,8.92,G,Physics,59.18,8117
B30B,367750,263262,180712,1859,9999,4.74,B,Performing Operations; Transporting,71.59,8140
B60J,364659,227739,191199,1902,9999,7.85,B,Performing Operations; Transporting,62.45,8097
A45C,363998,252817,185299,1877,9999,4.83,A,Human Necessities,69.46,8122
E02B,357667,248881,226791,1889,9999,3.49,E,Fixed Constructions,69.58,8110
F28D,356951,224213,211159,1877,9999,8.03,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,62.81,8122
H03F,356095,222035,113266,1896,9999,10.79,H,Electricity,62.35,8103
D03D,355332,218541,139267,1888,9999,6.02,D,Textiles; Paper,61.5,8111
C30B,350423,208056,111399,1883,9999,14.46,C,Chemistry; Metallurgy,59.37,8116
E21D,350285,239302,195794,1877,9999,3.26,E,Fixed Constructions,68.32,8122
A24F,347225,186124,102270,1877,9999,26.75,A,Human Necessities,53.6,8122
G01K,343134,222855,181460,1900,9999,7.39,G,Physics,64.95,8099
G01V,341218,217096,162210,1880,9999,14.17,G,Physics,63.62,8119
A63H,339929,225093,170459,1878,9999,6.49,A,Human Necessities,66.22,8121
F27D,339317,240486,180611,1883,9999,4.94,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,70.87,8116
F03D,337839,202049,124023,1882,9999,9.47,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,59.81,8117
A01M,334938,229476,207034,1896,9999,5.02,A,Human Necessities,68.51,8103
E01F,334110,240607,173590,1903,9999,3.94,E,Fixed Constructions,72.01,8096
D01F,332778,183884,115808,1874,9999,13.49,D,Textiles; Paper,55.26,8125
A62C,329584,228176,165708,1877,9999,4.29,A,Human Necessities,69.23,8122
C07B,328699,203062,90661,1903,9999,16.54,C,Chemistry; Metallurgy,61.78,8096
F27B,327004,233053,147166,1878,9999,5.02,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,71.27,8121
E04D,326131,213806,174601,1869,9999,5.4,E,Fixed Constructions,65.56,8130
B29L,320148,210921,213779,1950,9999,9.7,B,Performing Operations; Transporting,65.88,8049
B60G,320133,202444,121605,1896,9999,10.73,B,Performing Operations; Transporting,63.24,8103
B60Q,318920,196639,180102,1882,9999,11.09,B,Performing Operations; Transporting,61.66,8117
B29D,315285,204793,142973,1880,9999,13.07,B,Performing Operations; Transporting,64.95,8119
C01G,315025,187648,135307,1894,9999,11.55,C,Chemistry; Metallurgy,59.57,8105
A61J,314482,210955,148770,1877,9999,19.77,A,Human Necessities,67.08,8122
C25B,310658,166700,82587,1892,9999,8.3,C,Chemistry; Metallurgy,53.66,8107
E05F,306651,207378,159345,1899,9999,6.68,E,Fixed Constructions,67.63,8100
C10N,306386,166984,48092,1947,9999,14.96,C,Chemistry; Metallurgy,54.5,8052
F23D,304703,200988,141394,1877,9999,5.77,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.96,8122
G21C,300279,182749,95311,1883,9999,7.21,G,Physics,60.86,8116
B21C,300275,204335,164627,1877,9999,4.38,B,Performing Operations; Transporting,68.05,8122
A01P,298698,135177,130183,1945,9999,10.69,A,Human Necessities,45.26,8054
A01H,295835,188006,125255,1906,9999,18.65,A,Human Necessities,63.55,8093
E01D,295807,211853,167532,1899,9999,2.83,E,Fixed Constructions,71.62,8100
B64D,293229,197285,150213,1894,9999,10.18,B,Performing Operations; Transporting,67.28,8105
F24D,289118,190311,160867,1879,9999,3.26,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.82,8120
G01P,288452,178562,140459,1872,9999,10.98,G,Physics,61.9,8127
G07C,285577,164677,183660,1878,9999,17.57,G,Physics,57.66,8121
D06P,284253,154807,65208,1878,9999,9.49,D,Textiles; Paper,54.46,8121
F02C,284040,181026,93139,1861,9999,15.79,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,63.73,8138
B31B,283474,204099,97362,1885,9999,7.64,B,Performing Operations; Transporting,72.0,8114
B60H,282798,158424,156313,1886,9999,7.07,B,Performing Operations; Transporting,56.02,8113
A47F,282433,203766,149071,1890,9999,5.73,A,Human Necessities,72.15,8109
E05D,279855,198657,131750,1878,9999,6.43,E,Fixed Constructions,70.99,8121
H02S,279547,191594,174385,1913,9999,2.81,H,Electricity,68.54,8086
E03F,279029,208815,155602,1889,9999,2.27,E,Fixed Constructions,74.84,8110
B29K,278328,171641,121758,1950,9999,14.4,B,Performing Operations; Transporting,61.67,8049
B42D,271694,142644,129858,1894,9999,12.49,B,Performing Operations; Transporting,52.5,8105
